Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13,Pressure,Temp_woa,Temp_SD_woa,Sal_woa,Sal_SD_woa,Doxy_woa,Doxy_SD_woa,PO4_woa,SiOH4_woa,TA_cb,DIC_cb,NO3_cb,PO4_cb,SiOH4_cb,pH_insitu_cb,k_calcite_calc23,Oca_calc23,k_aragonite_calc23,Oar_calc23,total_calcium_calc23,CO2_calc23,HCO3_calc23,CO3_calc23,Omega_calc23,Oca_metab_calc12,Oar_metab_calc12,Omega_metab_calc12,u_TA_woa,u_DIC_woa,u_pH_insitu_woa,u_SiOH4_woa,u_PO4_woa,u_TA_woa_cb,u_DIC_woa_cb,u_pH_insitu_woa_cb,u_PO4_woa_cb,u_SiOH4_woa_cb,u_Oca_calc23,u_Oar_calc23,u_Omega_calc23
200.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,9.208219178082193e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,201.31298762572456,18.62010955810547,1.3459265232086182,34.86180114746094,0.1472534388303756,188.64117431640625,2.9385080337524414,0.4544681012630462,4.5288190841674805,2292.68190078586,2008.86977925217,3.39412834444175,0.343668654540548,3.68274682150273,8.09302957397306,4.424378031580106e-07,4.444346088196864,6.817131779086786e-07,2.884419406073338,10243.960679949285,11.480694184865968,1805.4372823251783,191.95180274212592,4.444346088196864,2.501898553777844,1.6237540005511766,2.501898553777844,9.253812026950943,12.960084681299787,0.005646003372310105,0.919726519476755,0.09108761450380282,13.119566952843448,16.554570213281327,0.019821134026087837,0.12123099239053267,4.0069810170038025,0.28747520477433935,0.19395532412274735,0.28747520477433935
287.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,1.3808219178082192e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,289.4490936184763,12.823152947288706,1.1665760001683918,34.32829984312733,0.0874414431716619,168.63035632215804,2.7617019247285928,1.080129031293834,13.903668923559051,2266.49244217973,2069.76787425389,13.4176114915478,1.04362799362505,14.3765281493698,8.01884580499002,4.436720222978892e-07,3.0792133378905904,6.923519351570041e-07,1.9732172892659687,10087.194069951764,16.62859810799193,1917.7041096134983,135.43516653239968,3.0792133378905904,1.535758138153854,0.9841424343829516,1.535758138153854,5.491502724134412,15.891902060825759,0.013220937889720613,3.196381379190864,0.1599647085973661,10.80030565165522,18.937860256926548,0.02314720714651878,0.17885387330622798,5.042504726942563,0.21340759202358112,0.13983580211751312,0.21340759202358112
350.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,352.42639489568023,10.250890731811523,0.8655807971954346,34.220088958740234,0.032766867429018,146.2644500732422,5.337181091308594,1.5394665002822876,23.439786911010746,2268.8760769365,2120.22243390531,20.6070002508207,1.53574964738405,25.5348545468962,7.9384846428786,4.481701491549773e-07,2.3579542716260637,7.022824295902509e-07,1.5047574495518017,10055.396859012628,22.25464005613093,1992.8735114024255,105.09428244675328,2.3579542716260637,1.1967110448025866,0.7636958363852383,1.1967110448025866,3.7949424948737565,13.751000747057757,0.017002762591100958,3.7177684234215476,0.12149465811909342,10.044480501220491,17.18080386785156,0.025496939732629523,0.14546804443407974,5.388116744298544,0.15965006188618883,0.10310230650456874,0.15965006188618883
412.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0001243287671232,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,415.422790313224,8.57458556374549,0.5428345676021551,34.19761510555497,0.042267309023698,115.93523227499443,8.031251309289349,1.9323621507436937,34.95993041387849,2277.60428663911,2172.46738363529,26.7540699932919,1.98095890534258,37.2902395453773,7.84564051628512,4.538238179493038e-07,1.8133313808115203,7.125799330975732e-07,1.1548640822228755,10048.793033026042,29.805206100900755,2060.768464752909,81.89371278147951,1.8133313808115203,1.0087519626621917,0.6424481602634798,1.0087519626621917,4.046498136300807,11.50174420866647,0.01996800616157092,3.7225113553539417,0.09297882374848736,10.142196368000667,15.439563460201608,0.027563041741951018,0.12265831266429633,5.39139043204432,0.12102022267817907,0.07742674680564927,0.12102022267817907
487.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,4.605479452054794e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,491.04364121481353,7.182291864784806,0.4024960054616574,34.22600402535668,0.0661670519866117,83.62892481876342,11.716868516512626,2.410740107183332,49.31239021180856,2291.43354581103,2223.44148527346,32.4280870319014,2.39857544050761,52.7484786203779,7.75148514801597,4.6149270989090445e-07,1.3975566651265594,7.254216210272208e-07,0.8890860072547374,10057.134970866971,39.49183156132959,2119.819837966031,64.12981574609934,1.3975566651265594,0.9024482758615372,0.5741120588244604,0.9024482758615372,5.705994543232254,11.607053962131213,0.027587991452217932,4.4091558497070045,0.09602036336091091,10.910929095516856,15.51817327135594,0.033497720405538785,0.1249796390615742,5.886480723403882,0.11004880095415709,0.07012993246511526,0.11004880095415709
562.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,566.6919249497905,6.316021335085631,0.3148522050303138,34.28540703225369,0.0671012044510533,57.542451613836505,11.24033910036087,2.6437773589973377,59.17189732239343,2306.15130371055,2260.61053340078,36.4848478336284,2.70423352452561,66.8494819824193,7.68529951970972,4.696885076129631e-07,1.1643077480686848,7.384292159445704e-07,0.7405746641444374,10074.59023843475,47.78510350996389,2158.5441186265325,54.28131126428366,1.1643077480686848,0.8732241835059141,0.5554267825627692,0.8732241835059141,6.545925440356136,10.474122680229257,0.025583615007342495,4.370839555323205,0.08608906810023713,11.372736692225915,14.690039003368675,0.031867245830851466,0.11752160501953361,5.857835642827302,0.08720313137363839,0.055528950400871926,0.08720313137363839
625.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,629.7530923102133,5.836035074456217,0.2569181238792649,34.34157864817181,0.0486916740000113,46.97105069633994,10.5444200915084,2.761548747689374,69.59742016563044,2317.57224469734,2280.07249566918,38.5184453648574,2.84925552284732,75.4486674186919,7.66138753153819,4.7668564428020013e-07,1.0796020989327615,7.49252695932426e-07,0.6868588193140565,10091.095978409588,51.39683040891522,2177.6771589337864,50.99850632647817,1.0796020989327615,0.8632186811935582,0.549192489307462,0.8632186811935582,5.369706674827856,9.418592310968025,0.023322845803642512,3.896399371108647,0.077202407229653,10.738889596866654,13.957072799130412,0.030082472245154403,0.1111764888906516,5.5128874520686395,0.0762099309187634,0.048525315798199034,0.0762099309187634
700.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,7.367123287671233e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,705.4515805432579,5.44258975982666,0.2014747560024261,34.40279006958008,0.0288412813097238,42.712799072265625,7.459383964538574,2.9401891231536865,77.42647552490234,2329.35687853132,2294.37496159234,39.9028738162381,2.93761369344711,82.660591998673,7.65384674119942,4.850660455222629e-07,1.0394045226091102,7.620218681564827e-07,0.6616343474494912,10109.08263926563,52.88534487913465,2191.615670731042,49.87394598216308,1.0394045226091102,0.8552495611397531,0.544410258934354,0.8552495611397531,3.7525235800265087,6.981872906600333,0.016218140439510233,3.2670299312251587,0.05318419867550871,10.0285309601484,12.4433335277939,0.02498055402339342,0.0960653891303001,5.087581406869188,0.060944960218681295,0.0388218066329753,0.060944960218681295
775.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.906849315068493e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,781.1774044201926,5.107077379528025,0.166280714950787,34.44732955535814,0.0178970161323166,45.70061055574901,5.238633399054523,2.9590658998584307,83.19782423200358,2339.02515928058,2301.8831799984,40.4803401674337,2.9618336376907,88.2716286220407,7.66129469734059,4.933259581177176e-07,1.0351066630449577,7.745434152172242e-07,0.6592851688726504,10122.170337720614,52.32356201999745,2199.1114463646777,50.44817161372509,1.0351066630449577,0.8405756532437033,0.5353835322330873,0.8405756532437033,2.853866461507488,5.3410315916141355,0.011296807583444353,2.840688425518546,0.036936457891954676,9.72802928552938,11.602440194313447,0.022104702250366683,0.08811527632371212,4.82488453031521,0.05362022204102472,0.0341723776493092,0.05362022204102472
837.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0001197260273972,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,844.3031142497081,4.856290878612228,0.1662503923289477,34.47466310636386,0.0135502420242872,44.920430302619934,2.9255395011396934,2.9326518678629565,86.80884069148966,2346.08012967679,2309.61065200087,41.0212857145841,2.99582223135298,92.8929312460765,7.65997739323261,5.001641090137703e-07,1.0155332002633968,7.848746601901165e-07,0.6471520664976117,10130.202160877474,52.75284740055636,2206.71731873269,50.14048586762336,1.0155332002633968,0.8289618827051837,0.52825884500996,0.8289618827051837,2.729854056364656,4.306337720825202,0.006439115676101604,2.9338275557724423,0.021909994210881256,9.692373453857964,11.16398426037058,0.020061460831410492,0.0829460538321194,4.880301643034957,0.0479118187057804,0.030553431673821154,0.0479118187057804
